Column1,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
0,Afghanistan,AFG,11/05/2021,504502,448878,55624,12,40374668,1.111781278
1,Afghanistan,AFG,20/05/2021,547901,470341,77560,10,40374668,1.164940849
2,Afghanistan,AFG,24/05/2021,573277,476367,96910,10,40374668,1.179866049
3,Afghanistan,AFG,26/05/2021,590454,479372,111082,19,40374668,1.187308834
4,Afghanistan,AFG,27/05/2021,593313,479574,113739,14,40374668,1.187809148
5,Afghanistan,AFG,30/05/2021,600152,480226,119926,20,40374668,1.189424022
6,Afghanistan,AFG,02/06/2021,626290,481690,144600,34,40374668,1.193050058
7,Afghanistan,AFG,03/06/2021,630305,481800,148505,27,40374668,1.193322506
8,Afghanistan,AFG,08/06/2021,641295,482952,158343,64,40374668,1.19617578
9,Afghanistan,AFG,14/06/2021,662003,484737,177266,85,40374668,1.200596869
10,Afghanistan,AFG,22/06/2021,765890,582128,183762,78,40374668,1.441814952
11,Afghanistan,AFG,27/06/2021,835694,649434,186260,56,40374668,1.60851849
12,Afghanistan,AFG,30/06/2021,886854,699200,187654,77,40374668,1.731778946
13,Afghanistan,AFG,05/07/2021,915671,726349,189322,84,40374668,1.799021604
14,Afghanistan,AFG,07/07/2021,934463,735213,199250,55,40374668,1.820975964
15,Afghanistan,AFG,11/07/2021,962093,742934,219159,86,40374668,1.840099341
16,Afghanistan,AFG,20/08/2021,1201286,770542,430744,7,40374668,1.908478851
17,Afghanistan,AFG,14/11/2021,4018197,3530173,3188609,0,40374668,8.743534436
18,Afghanistan,AFG,27/12/2021,4674518,4142857,3753224,2,40374668,10.26103051
19,Afghanistan,AFG,09/01/2022,4903368,4358570,3809353,1,40374668,10.79530858
20,Afghanistan,AFG,11/01/2022,4925111,4378818,3814837,0,40374668,10.84545884
21,Afghanistan,AFG,13/01/2022,4954809,4405897,3823786,2,40374668,10.91252812
22,Afghanistan,AFG,17/01/2022,4985047,4432926,3832821,1,40374668,10.97947356
23,Afghanistan,AFG,19/01/2022,5004050,4450211,3836731,2,40374668,11.02228506
24,Afghanistan,AFG,24/01/2022,5046054,4486527,3851307,3,40374668,11.11223255
25,Afghanistan,AFG,26/01/2022,5074196,4511372,3866279,4,40374668,11.17376866
26,Afghanistan,AFG,27/01/2022,5081064,4517380,3868832,4,40374668,11.18864928
27,Afghanistan,AFG,31/01/2022,5125146,4554648,3892831,2,40374668,11.28095468
28,Afghanistan,AFG,02/02/2022,5152297,4577740,3912336,3,40374668,11.33814896
29,Afghanistan,AFG,07/02/2022,5216998,4634282,3959887,7,40374668,11.47819222
30,Afghanistan,AFG,14/02/2022,5321308,4723416,4043580,6,40374668,11.69895936
31,Afghanistan,AFG,20/02/2022,5412309,4801524,4125717,5,40374668,11.89241729
32,Afghanistan,AFG,27/02/2022,5535254,4907058,4231984,7,40374668,12.15380396
33,Afghanistan,AFG,06/03/2022,5597130,4952744,4281934,2,40374668,12.26695907
34,Afghanistan,AFG,17/03/2022,5731146,5066540,4402868,5,40374668,12.54880907
35,Afghanistan,AFG,22/03/2022,5751015,5082824,4420127,0,40374668,12.58914129
36,Albania,ALB,02/02/2021,550,549,1,13,2869700,0.01913092
37,Albania,ALB,09/02/2021,1127,689,438,12,2869700,0.024009478
38,Albania,ALB,17/02/2021,1701,1090,611,15,2869700,0.037983064
39,Albania,ALB,18/02/2021,3049,2438,611,18,2869700,0.084956616
40,Albania,ALB,22/02/2021,6728,6073,655,13,2869700,0.211624909
41,Albania,ALB,11/05/2021,622507,440921,181586,4,2869700,15.36470711
42,Albania,ALB,12/05/2021,632676,444755,187921,4,2869700,15.49830993
43,Albania,ALB,13/05/2021,638338,445402,192936,3,2869700,15.52085584
44,Albania,ALB,14/05/2021,653330,448571,204759,3,2869700,15.6312855
45,Albania,ALB,17/05/2021,680083,456980,223103,3,2869700,15.92431265
46,Albania,ALB,18/05/2021,688947,460191,228756,3,2869700,16.03620588
47,Albania,ALB,19/05/2021,697811,463402,234409,1,2869700,16.1480991
48,Albania,ALB,20/05/2021,703743,466083,237660,2,2869700,16.2415235
49,Albania,ALB,21/05/2021,708846,469169,239677,2,2869700,16.34906088
50,Albania,ALB,23/05/2021,716616,472840,243776,1,2869700,16.47698366
51,Albania,ALB,24/05/2021,725135,475237,249898,2,2869700,16.56051155
52,Albania,ALB,26/05/2021,748986,479789,269197,2,2869700,16.7191344
53,Albania,ALB,27/05/2021,759043,481788,277255,0,2869700,16.78879325
54,Albania,ALB,30/05/2021,772204,485162,287042,1,2869700,16.90636652
55,Albania,ALB,31/05/2021,776461,486128,290333,1,2869700,16.94002857
56,Albania,ALB,01/06/2021,780342,487078,293264,1,2869700,16.97313308
57,Albania,ALB,03/06/2021,787321,490050,297271,0,2869700,17.07669791
58,Albania,ALB,06/06/2021,798624,492522,306102,0,2869700,17.16283932
59,Albania,ALB,07/06/2021,803682,493346,310336,0,2869700,17.19155312
60,Albania,ALB,08/06/2021,809992,494437,315555,1,2869700,17.22957104
61,Albania,ALB,09/06/2021,816556,496024,320532,0,2869700,17.28487298
62,Albania,ALB,10/06/2021,823053,498437,324616,0,2869700,17.36895843
